Image,Label,features
504.jpg,0,"[1.32224843e-04 5.20084426e-03 3.94911543e-02 8.37424072e-04
 6.68176264e-02 1.63518060e-02 4.40749500e-05 7.09606707e-03
 0.00000000e+00 0.00000000e+00 6.78754225e-03 5.58870360e-02
 4.40749514e-04 1.35927141e-01 1.09394029e-01 1.76299800e-04
 8.55054054e-03 0.00000000e+00 0.00000000e+00 1.27817355e-02
 5.78704119e-01 1.10187372e-02 5.70462048e-01 5.46837926e-01
 8.81499029e-04 1.27817353e-03 0.00000000e+00 0.00000000e+00
 7.05199200e-04 1.52499331e-02 8.81499029e-04 3.26154637e-03
 3.92267061e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.68857204e-03 1.32224843e-04
 8.81499000e-05 4.40749500e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.20374757e-04 5.06861927e-03
 1.76299800e-04 4.40749500e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.36632344e-03 4.40749500e-05 2.20374757e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.29189731e-03 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
505.jpg,0,"[7.65576866e-03 3.04483801e-01 2.72319280e-02 1.22286770e-02
 7.83662975e-01 1.52087752e-02 4.93257586e-03 2.71805469e-02
 0.00000000e+00 0.00000000e+00 1.05947614e-01 2.65639760e-02
 5.49776666e-03 4.07194406e-01 1.22800581e-02 2.77457386e-03
 5.60052879e-03 0.00000000e+00 0.00000000e+00 7.96405450e-02
 3.19589786e-02 4.67567053e-03 1.96069881e-01 2.92871683e-03
 1.74695393e-03 8.73476965e-04 0.00000000e+00 0.00000000e+00
 2.23507341e-02 8.83753132e-03 5.34362393e-03 4.94799018e-02
 5.13809973e-05 1.43866788e-03 3.08285991e-04 0.00000000e+00
 0.00000000e+00 6.93643466e-03 5.29224286e-03 2.41490686e-03
 1.98330656e-02 1.02761995e-04 7.70714949e-04 1.02761995e-04
 0.00000000e+00 0.00000000e+00 6.59218207e-02 1.47463465e-02
 1.21259149e-02 2.42261410e-01 6.67952991e-04 2.15800200e-03
 5.13809966e-04 0.00000000e+00 0.00000000e+00 1.41297746e-02
 3.39114573e-03 1.69557286e-03 6.88505359e-03 0.00000000e+00
 5.13809973e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.25369634e-02 2.77457386e-03 1.23314396e-03 7.19333952e-03
 0.00000000e+00 2.05523989e-04 0.00000000e+00 0.00000000e+00]"
508.jpg,4,"[2.2140204e-03 3.0073775e-02 2.5860986e-01 1.7835164e-03 1.0258294e-01
 2.3370214e-02 1.6605152e-03 6.4575593e-03 0.0000000e+00 0.0000000e+00
 1.5559643e-02 3.0215228e-01 4.6125422e-03 6.9384933e-01 2.9298869e-01
 2.4600225e-03 4.9323451e-02 0.0000000e+00 0.0000000e+00 1.4206630e-02
 2.8979066e-01 4.9200449e-03 3.0959383e-01 1.6660503e-01 1.0455096e-03
 1.1070102e-03 0.0000000e+00 0.0000000e+00 9.4095860e-03 3.2410797e-02
 5.5350509e-04 6.6420608e-03 7.3800678e-04 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 3.1365287e-03 4.2312387e-02 0.0000000e+00
 4.2435387e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 1.2238612e-02 9.9261910e-02 1.5375140e-03 1.8886822e-01
 2.6998747e-02 6.1500563e-05 9.2250842e-04 0.0000000e+00 0.0000000e+00
 3.7515343e-03 1.6789654e-02 6.1500563e-05 3.3825310e-03 6.1500563e-05
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 5.7810531e-03
 4.7416933e-02 1.2300113e-04 4.1205375e-03 6.1500563e-05 0.0000000e+00
 0.0000000e+00 0.0000000e+00]"
509.jpg,4,"[4.25836351e-03 2.96765953e-01 7.41015255e-01 2.45905500e-02
 1.78011596e-01 1.79930851e-02 5.69781056e-03 1.16955061e-02
 0.00000000e+00 0.00000000e+00 6.66343942e-02 1.31649405e-01
 1.75132696e-02 4.11501855e-01 1.04779735e-01 7.61707267e-03
 7.11926445e-02 1.13956211e-03 0.00000000e+00 1.19953901e-02
 2.66897436e-02 3.05882446e-03 1.08558284e-02 4.49827127e-03
 3.59861704e-04 8.39677348e-04 2.39907810e-03 0.00000000e+00
 1.87128093e-02 1.34948138e-02 2.15917034e-03 2.69896281e-03
 0.00000000e+00 1.79930852e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.17877834e-03 1.13956211e-02 3.29873245e-03
 2.69896281e-03 1.19953904e-04 2.39907808e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.07358746e-01 2.06320718e-01
 1.66496024e-01 1.85388759e-01 3.17877834e-03 2.44106203e-02
 1.61937776e-03 0.00000000e+00 0.00000000e+00 1.89527161e-02
 5.85974827e-02 5.21799503e-03 3.59861704e-04 1.19953904e-04
 1.19953904e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.77624301e-03 8.99654254e-03 1.19953905e-03 2.39907808e-04
 5.99769519e-05 5.99769519e-05 0.00000000e+00 0.00000000e+00]"
511.jpg,4,"[0.00000000e+00 4.86263968e-02 7.28225932e-02 1.87204612e-04
 1.12322764e-02 1.12322764e-03 0.00000000e+00 1.40403456e-04
 0.00000000e+00 0.00000000e+00 6.62704334e-02 3.46796550e-02
 0.00000000e+00 8.39472294e-01 3.71741563e-01 1.87204612e-04
 5.66293951e-03 0.00000000e+00 0.00000000e+00 8.10595974e-02
 1.20466165e-01 0.00000000e+00 1.06472626e-01 1.23555042e-01
 0.00000000e+00 4.68011531e-05 0.00000000e+00 0.00000000e+00
 1.25427088e-02 1.10918730e-02 0.00000000e+00 3.69729102e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.11850167e-03 1.26363114e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.17157342e-02 2.99714595e-01
 0.00000000e+00 9.96864587e-03 7.09037483e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.97337184e-03
 3.55688762e-03 4.68011531e-05 3.27608082e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.91412124e-03 2.10605189e-03 1.87204612e-04 4.68011531e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
513.jpg,3,"[0.0000000e+00 1.9606419e-02 7.4265398e-02 7.5681661e-03 2.8431520e-01
 5.2490324e-02 2.6112387e-03 1.5578915e-02 0.0000000e+00 0.0000000e+00
 8.5861068e-03 8.8251017e-02 3.4078876e-03 5.8801556e-01 7.2778320e-01
 2.4342055e-03 1.3981192e-01 4.5586033e-03 0.0000000e+00 5.7535768e-03
 3.5937726e-02 0.0000000e+00 1.9385127e-02 9.9138552e-03 4.4258282e-05
 9.7368221e-04 0.0000000e+00 0.0000000e+00 5.9306100e-03 8.5861068e-03
 0.0000000e+00 3.0538214e-03 1.7703313e-04 4.4258282e-05 4.4258282e-05
 0.0000000e+00 0.0000000e+00 1.5932982e-03 3.4964043e-03 0.0000000e+00
 2.7882718e-03 1.3277485e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 7.2583584e-03 7.2406553e-02 0.0000000e+00 1.8588479e-03
 2.7882718e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 1.3277484e-03 6.5059676e-03 3.5406626e-04 3.5406626e-04 2.2129141e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.7260730e-03
 5.0011859e-03 8.8516565e-04 1.9031061e-03 9.7368221e-04 0.0000000e+00
 0.0000000e+00 0.0000000e+00]"
515.jpg,3,"[4.89936350e-03 1.39904050e-02 2.18838230e-02 7.62123195e-03
 1.98914155e-01 1.55690890e-02 1.12140989e-02 3.54387313e-02
 0.00000000e+00 0.00000000e+00 8.76441691e-03 7.91519359e-02
 2.28636968e-03 7.72411883e-01 1.70661166e-01 1.19762216e-03
 1.06914997e-01 1.36637809e-02 0.00000000e+00 2.62932517e-02
 3.51066619e-01 3.26624233e-03 4.97013219e-02 9.58097726e-03
 9.25435335e-04 1.79643324e-03 0.00000000e+00 0.00000000e+00
 3.57109159e-02 3.98808181e-01 1.25205959e-03 1.14862854e-02
 3.64730391e-03 3.81061604e-04 1.08874745e-04 0.00000000e+00
 0.00000000e+00 8.87329131e-03 8.64465460e-02 0.00000000e+00
 3.01583037e-02 9.85316467e-03 0.00000000e+00 1.08874745e-04
 0.00000000e+00 0.00000000e+00 1.56779625e-02 3.02127413e-02
 4.24611522e-03 1.25423700e-01 4.27333377e-02 1.25205959e-03
 6.04254846e-03 0.00000000e+00 0.00000000e+00 1.30649691e-03
 1.68755860e-03 3.26624227e-04 1.57868385e-03 1.08874745e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.16560583e-04 2.23193225e-03 5.44373725e-05 3.42955440e-03
 2.72186851e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
517.jpg,0,"[0.00000000e+00 4.35182601e-02 4.60784912e-01 5.65172231e-05
 1.14616930e-01 9.12753120e-02 0.00000000e+00 6.04734290e-03
 5.65172231e-05 0.00000000e+00 8.13847966e-03 3.52950066e-01
 0.00000000e+00 8.33063871e-02 2.90102899e-01 1.13034446e-04
 9.13883522e-02 2.33981311e-02 0.00000000e+00 2.76934402e-03
 2.53084123e-01 5.65172231e-05 1.43553745e-02 1.00939758e-01
 5.65172231e-05 1.92158557e-02 6.72894061e-01 0.00000000e+00
 5.65172231e-04 1.70116834e-02 0.00000000e+00 1.46944774e-03
 1.14729963e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 5.65172231e-05 2.99541280e-03 0.00000000e+00
 0.00000000e+00 2.26068893e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.95620562e-04 1.00261554e-01
 5.65172231e-05 4.18227445e-03 1.01730996e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.27234715e-02
 5.14306733e-03 0.00000000e+00 5.08654979e-04 2.26068893e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.97810289e-02 5.70823951e-03 5.65172231e-05 2.03461992e-03
 7.91241124e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
518.jpg,0,"[2.21997878e-04 2.55297567e-03 9.95105505e-02 4.77295415e-03
 2.19666898e-01 3.06967556e-01 1.80928279e-02 1.23153321e-01
 2.31432784e-02 0.00000000e+00 8.32492020e-04 2.15892941e-01
 7.21493096e-04 1.71382368e-01 8.17507207e-01 8.87991511e-04
 7.24268109e-02 1.88698201e-03 0.00000000e+00 1.44298619e-03
 2.11952478e-01 2.77497340e-04 1.66498404e-02 6.88748434e-02
 2.21997878e-04 2.77497340e-04 0.00000000e+00 0.00000000e+00
 1.27648783e-03 7.53682777e-02 2.21997878e-04 3.55196605e-03
 4.49545681e-03 8.32492020e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.21493096e-04 1.04117006e-01 5.54994695e-05
 3.71846440e-03 1.14162408e-01 1.10998939e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.88698201e-03 4.49545719e-02
 1.44298619e-03 5.43894805e-03 1.27093783e-02 3.49646667e-03
 3.88496293e-04 0.00000000e+00 0.00000000e+00 4.99495247e-04
 3.27446871e-03 6.10494171e-04 1.94248138e-03 0.00000000e+00
 5.54994680e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.32996831e-04 1.39303664e-02 6.10494171e-04 3.71846440e-03
 5.54994695e-05 8.87991511e-04 5.54994695e-05 0.00000000e+00]"
529.jpg,0,"[0.0000000e+00 2.2927098e-02 7.1536280e-02 0.0000000e+00 2.6872802e-01
 3.3349356e-01 4.6694702e-05 4.9029436e-02 7.0042051e-03 0.0000000e+00
 8.3116572e-03 3.9316941e-02 4.6694702e-05 6.5437955e-01 6.0516334e-01
 0.0000000e+00 1.4381968e-02 0.0000000e+00 0.0000000e+00 5.1831119e-03
 5.8695242e-02 0.0000000e+00 2.1666342e-02 8.5124440e-02 0.0000000e+00
 7.4711523e-04 0.0000000e+00 0.0000000e+00 3.2219344e-03 1.7136956e-02
 0.0000000e+00 1.6062977e-02 1.4381968e-02 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 2.8016820e-04 3.1752398e-03 4.6694702e-05
 2.4748193e-03 2.4281244e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 3.8756602e-03 8.2649626e-03 0.0000000e+00 9.3389404e-05
 2.3814298e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 1.3074516e-03 1.9611774e-03 0.0000000e+00 4.6694702e-05 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.6421868e-03
 7.6579312e-03 0.0000000e+00 8.2649626e-03 4.6694704e-04 0.0000000e+00
 0.0000000e+00 0.0000000e+00]"
